INSEE,POSTAL,CITY,PRICE,TFB,,
78383,78310,MAUREPAS,19.3,34.49,,
95039,95430,AUVERS SUR OISE,19.3,41.23,,
92071,92330,SCEAUX,24.1,33.52,,
95480,95620,PARMAIN,14.73,37.18,,
78092,78380,BOUGIVAL,19.3,25.79,,
91103,91220,BRETIGNY SUR ORGE,19.3,36.39,,
95288,95410,GROSLAY,19.3,35.45,,
91667,91360,VILLEMOISSON SUR ORGE,19.3,32.62,,
78124,78420,CARRIERES SUR SEINE,19.3,30.68,,
77062,77400,Carnetin,19.3,35.63,,
78372,78160,MARLY LE ROI,24.1,27.72,,
77053,77170,BRIE COMTE ROBERT,19.3,40.42,,
78117,78530,BUC,19.3,26.57,,
77237,77600,Jossigny,14.73,40.12,,
78314,78440,Issou,14.73,34.18,,
95426,95680,MONTLIGNON,19.3,28.54,,
92036,92230,GENNEVILLIERS,20.47,31.37,,
77055,77177,Brou-sur-Chantereine,19.3,54.63,,
78638,78740,VAUX SUR SEINE,19.3,29.11,,
77121,77090,Collégien,19.3,44,,
91106,91650,Breux-Jouy,14.73,36.75,,
78005,78260,ACHERES,20.47,36.08,,
78354,78200,Magnanville,14.73,32.95,,
92077,92410,VILLE D AVRAY,24.1,24.76,,
95268,95140,GARGES LES GONESSE,20.47,39.01,,
78442,78640,Neauphle-le-Château,14.73,24.78,,
78208,78990,ELANCOURT,19.3,39.12,,
93006,93170,BAGNOLET,20.47,48.77,,
91027,91200,ATHIS MONS,20.47,47.42,,
78545,78210,ST CYR L ECOLE,20.47,29.48,,
78644,78320,VERRIERE,14.73,29.5,,
78674,78450,VILLEPREUX,14.73,29.45,,
77449,77700,SERRIS,19.3,60.88,,
93046,93190,LIVRY GARGAN,19.3,40.46,,
78267,78440,GARGENVILLE,19.3,34.75,,
91377,91300,MASSY,20.47,30.73,,
91514,91480,QUINCY SOUS SENART,14.73,33.92,,
91085,91790,BOISSY SOUS SAINT YON,19.3,41.37,,
94060,94510,La Queue-en-Brie,19.3,37.98,,
95199,95330,DOMONT,19.3,33.1,,
95019,95400,ARNOUVILLE LES GONESSE,19.3,41.01,,
95628,95760,VALMONDOIS,14.73,36,,
77181,77164,Ferrières-en-Brie,14.73,37.08,,
91589,91600,SAVIGNY SUR ORGE,19.3,39.92,,
93061,93310,PRE SAINT GERVAIS,20.47,46.73,,
94001,94480,ABLON SUR SEINE,14.73,38.65,,
78440,78130,MUREAUX,19.3,34.64,,
92046,92240,MALAKOFF,20.47,35.49,,
95539,95350,ST BRICE SOUS FORET,19.3,39.5,,
78403,78250,MEZY SUR SEINE,19.3,23.5,,
78168,78310,COIGNIERES,19.3,24.24,,
91600,91450,SOISY SUR SEINE,19.3,33.16,,
93071,93270,SEVRAN,20.47,41.49,,
78609,78250,Tessancourt-sur-Aubette,14.73,29.08,,
93039,93450,L'Île-Saint-Denis,20.47,43.73,,
95018,95100,ARGENTEUIL,20.47,38.14,,
78126,78170,CELLE SAINT CLOUD,20.47,23.77,,
78172,78700,CONFLANS SAINTE HONORINE,19.3,31.93,,
92062,92800,PUTEAUX,24.1,16.01,,
91685,91700,VILLIERS SUR ORGE,14.73,36.5,,
77350,77330,OZOIR LA FERRIERE,19.3,46.71,,
95280,95190,Goussainville,19.3,38.45,,
91549,91700,STE GENEVIEVE DES BOIS,19.3,35.5,,
94004,94470,BOISSY SAINT LEGER,19.3,35.67,,
95120,95430,BUTRY SUR OISE,14.73,36.39,,
77438,77400,ST THIBAULT DES VIGNES,19.3,49.95,,
77445,77176,SAVIGNY LE TEMPLE,14.73,65.1,,
94052,94130,NOGENT SUR MARNE,24.1,33.47,,
77268,77700,MAGNY LE HONGRE,19.3,55.09,,
78575,78470,ST REMY LES CHEVREUSE,19.3,24.36,,
91339,91310,LINAS,19.3,37.17,,
93051,93160,NOISY LE GRAND,19.3,33.27,,
95607,95150,TAVERNY,19.3,36.27,,
91275,91940,GOMETZ LE CHATEL,19.3,36.99,,
95088,95500,BONNEUIL EN FRANCE,19.3,26,,
94081,94400,VITRY SUR SEINE,20.47,37.69,,
78224,78620,L'Étang-la-Ville,20.47,28.49,,
94079,94350,VILLIERS SUR MARNE,20.47,35.05,,
95256,95740,FREPILLON,14.73,35.68,,
94019,94430,CHENNEVIERES SUR MARNE,19.3,39.09,,
95252,95130,FRANCONVILLE,19.3,41.14,,
92014,92340,BOURG LA REINE,24.1,28.33,,
78382,78780,MAURECOURT,19.3,31.51,,
91086,91070,BONDOUFLE,14.73,41.87,,
77470,77220,TOURNAN EN BRIE,19.3,39,,
78672,78670,VILLENNES SUR SEINE,19.3,29.25,,
94077,94290,VILLENEUVE LE ROI,19.3,39.48,,
91665,91620,VILLE DU BOIS,19.3,39.74,,
95277,95500,GONESSE,20.47,36.15,,
78261,78250,Gaillon-sur-Montcient,14.73,28.28,,
92048,92190,MEUDON,24.1,26.96,,
91021,91290,ARPAJON,19.3,35.11,,
93078,93420,VILLEPINTE,19.3,47.84,,
95212,95380,Épiais-lès-Louvres,14.73,27.28,,
93049,93360,NEUILLY PLAISANCE,19.3,37.35,,
95205,95440,ECOUEN,19.3,30.91,,
92051,92200,NEUILLY SUR SEINE,30.3,13.05,,
94070,94440,Santeny,14.73,29.92,,
94073,94320,THIAIS,19.3,27.82,,
78640,78140,VELIZY VILLACOUBLAY,24.1,23,,
95582,95110,SANNOIS,19.3,40.18,,
91479,91550,PARAY VIEILLE POSTE,19.3,38.89,,
78647,78930,Vert,14.73,27.65,,
91228,91000,EVRY,19.3,44.58258,,
91204,91540,Écharcon,14.73,34.13,,
77221,77600,Guermantes,14.73,40.07,,
77083,77420,CHAMPS SUR MARNE,20.47,47.5,,
91122,91440,BURES SUR YVETTE,19.3,38.9,,
78242,78330,FONTENAY LE FLEURY,19.3,27.96,,
95176,95240,CORMEILLES EN PARISIS,19.3,38.75,,
94034,94260,FRESNES,20.47,36.96,,
94068,94100,Saint-Maur-des-Fossés,24.1,31.29,,
94065,94150,RUNGIS,19.3,21.85,,
91207,91520,EGLY,14.73,31.09,,
92024,92110,CLICHY,24.1,29.98,,
91216,91360,EPINAY SUR ORGE,19.3,36,,
93077,93250,VILLEMOMBLE,19.3,31.95,,
77464,77400,THORIGNY SUR MARNE,19.3,52.75,,
95424,95370,MONTIGNY LES CORMEILLES,19.3,36.17,,
78576,78690,ST REMY L HONORE,19.3,22.03,,
94015,94360,BRY SUR MARNE,19.3,35.5,,
78443,78640,Neauphle-le-Vieux,14.73,24.47,,
91573,91280,Saint-Pierre-du-Perray,14.73,43.31,,
94016,94230,CACHAN,19.3,41.33,,
78146,78400,CHATOU,24.1,22.32,,
78502,78560,PORT MARLY,20.47,24.5,,
95585,95200,SARCELLES,20.47,36.9,,
95678,95840,Villiers-Adam,14.73,30.68,,
78239,78520,FOLLAINVILLE DENNEMONT,14.73,23.18,,
93072,93240,STAINS,20.47,41.19,,
91553,91250,ST GERMAIN LES CORBEIL,19.3,35.82,,
92032,92260,FONTENAY AUX ROSES,24.1,33.83,,
91215,91860,EPINAY SOUS SENART,19.3,36.55,,
77296,77550,MOISSY CRAMAYEL,19.3,49.54,,
77294,77290,MITRY MORY,19.3,43.44,,
78327,78820,Juziers,19.3,33.94,,
77288,77000,MELUN,20.47,45.3,,
78418,78360,MONTESSON,19.3,19.91,,
91661,91140,VILLEBON SUR YVETTE,19.3,32.76,,
78650,78110,VESINET,24.1,25.44,,
78238,78410,FLINS SUR SEINE,14.73,25.92,,
92012,92100,BOULOGNE BILLANCOURT,28.33,15.09,,
91477,91120,PALAISEAU,19.3,34.09,,
91114,91800,BRUNOY,14.73,40.33,,
95063,95870,BEZONS,20.47,35.68,,
78299,78250,Hardricourt,19.3,26.69,,
95489,95350,Piscop,19.3,23.37,,
